Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	01_01 Spectral Count	01_02 Spectral Count	02_01 Spectral Count	02_02 Spectral Count	01_01 Unique Spectral Count	01_02 Unique Spectral Count	02_01 Unique Spectral Count	02_02 Unique Spectral Count	01_01 Total Spectral Count	01_02 Total Spectral Count	02_01 Total Spectral Count	02_02 Total Spectral Count	01_01 Intensity	01_02 Intensity	02_01 Intensity	02_02 Intensity	01_01 Unique Intensity	01_02 Unique Intensity	02_01 Unique Intensity	02_02 Unique Intensity	01_01 Total Intensity	01_02 Total Intensity	02_01 Total Intensity	02_02 Total Intensity	01_01 MaxLFQ Intensity	01_02 MaxLFQ Intensity	02_01 MaxLFQ Intensity	02_02 MaxLFQ Intensity	01_01 MaxLFQ Unique Intensity	01_02 MaxLFQ Unique Intensity	02_01 MaxLFQ Unique Intensity	02_02 MaxLFQ Unique Intensity	01_01 MaxLFQ Total Intensity	01_02 MaxLFQ Total Intensity	02_01 MaxLFQ Total Intensity	02_02 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|Q6JBY9|CPZIP_HUMAN	Q6JBY9	CPZIP_HUMAN	RCSD1	416	34.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	CapZ-interacting protein	1.0000	0.9990	3	6	6	6	4	0	2	0	4	0	2	0	4	0	2	0	1792350.0	0.0	508772.44	916977.3	1792350.0	0.0	508772.44	916977.3	1792350.0	0.0	508772.44	916977.3	965755.7	0.0	669220.8	836911.06	965755.7	0.0	669220.8	836911.06	965755.7	0.0	669220.8	836911.06	
sp|Q6KB66|K2C80_HUMAN	Q6KB66	K2C80_HUMAN	KRT80	452	33.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 80	1.0000	0.9984	7	8	8	8	4	0	0	4	4	0	0	4	4	0	0	4	1947295.2	0.0	0.0	2647689.0	1947295.2	0.0	0.0	2647689.0	1947295.2	0.0	0.0	2647689.0	678917.2	0.0	0.0	957076.06	678917.2	0.0	0.0	957076.06	678917.2	0.0	0.0	957076.06	
sp|Q6MZW2|FSTL4_HUMAN	Q6MZW2	FSTL4_HUMAN	FSTL4	842	19.80	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Follistatin-related protein 4	1.0000	0.9990	8	42	36	42	13	4	13	12	12	1	12	11	13	4	13	12	1.0825035E7	1153336.2	4746312.5	1.1287729E7	1.0825035E7	1153336.2	4746312.5	1.1287729E7	1.0825035E7	1153336.2	4746312.5	1.1287729E7	4829778.0	2425499.8	1984455.8	5255294.5	5572058.5	1779283.9	1984455.8	6209613.5	4829778.0	2425499.8	1984455.8	5255294.5	
sp|Q6P179|ERAP2_HUMAN	Q6P179	ERAP2_HUMAN	ERAP2	960	8.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endoplasmic reticulum aminopeptidase 2	1.0000	0.9990	2	7	7	7	4	0	0	3	4	0	0	3	4	0	0	3	683085.5	0.0	0.0	390376.1	683085.5	0.0	0.0	390376.1	683085.5	0.0	0.0	390376.1	577461.9	0.0	0.0	294016.03	577461.9	0.0	0.0	294016.03	577461.9	0.0	0.0	294016.03	
sp|Q6P4E1|GOLM2_HUMAN	Q6P4E1	GOLM2_HUMAN	GOLM2	436	28.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein GOLM2	1.0000	0.9990	5	14	14	14	6	3	0	5	6	3	0	5	6	3	0	5	6663178.0	1.2400352E7	0.0	9381298.0	6663178.0	1.2400352E7	0.0	9381298.0	6663178.0	1.2400352E7	0.0	9381298.0	3374986.0	7445719.0	0.0	4072516.2	3374986.0	7445719.0	0.0	4072516.2	3374986.0	7445719.0	0.0	4072516.2	
sp|Q6PCB0|VWA1_HUMAN	Q6PCB0	VWA1_HUMAN	VWA1	445	24.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 1	1.0000	0.9974	1	2	2	2	1	0	0	1	1	0	0	1	1	0	0	1	1080831.0	0.0	0.0	1077097.0	1080831.0	0.0	0.0	1077097.0	1080831.0	0.0	0.0	1077097.0	1080831.0	0.0	0.0	1077097.0	1080831.0	0.0	0.0	1077097.0	1080831.0	0.0	0.0	1077097.0	
sp|Q6UVK1|CSPG4_HUMAN	Q6UVK1	CSPG4_HUMAN	CSPG4	2322	11.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chondroitin sulfate proteoglycan 4	1.0000	0.9990	12	37	37	37	15	1	6	15	15	1	6	15	15	1	6	15	9805522.0	1551442.4	2970585.2	5513621.5	9805522.0	1551442.4	2970585.2	5513621.5	9805522.0	1551442.4	2970585.2	5513621.5	3070144.5	2007908.9	2027613.9	2512765.2	3070144.5	2007908.9	2027613.9	2512765.2	3070144.5	2007908.9	2027613.9	2512765.2	
sp|Q6UW01|CBLN3_HUMAN	Q6UW01	CBLN3_HUMAN	CBLN3	205	24.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cerebellin-3	1.0000	0.9990	4	24	24	24	10	2	2	10	10	2	2	10	10	2	2	10	2300401.5	0.0	0.0	1576233.8	2300401.5	0.0	0.0	1576233.8	2300401.5	0.0	0.0	1576233.8	954471.8	0.0	0.0	2909283.8	954471.8	0.0	0.0	2909283.8	954471.8	0.0	0.0	2909283.8	
sp|Q6UWR7|ENPP6_HUMAN	Q6UWR7	ENPP6_HUMAN	ENPP6	440	13.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glycerophosphocholine cholinephosphodiesterase ENPP6	1.0000	0.9990	3	4	4	4	2	0	0	2	2	0	0	2	2	0	0	2	2018568.5	0.0	0.0	2279600.2	2018568.5	0.0	0.0	2279600.2	2018568.5	0.0	0.0	2279600.2	1016355.4	0.0	0.0	1388165.0	1016355.4	0.0	0.0	1388165.0	1016355.4	0.0	0.0	1388165.0	
sp|Q6UX71|PXDC2_HUMAN	Q6UX71	PXDC2_HUMAN	PLXDC2	529	21.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plexin domain-containing protein 2	1.0000	0.9990	5	33	33	33	10	6	9	8	10	6	9	8	10	6	9	8	3252484.5	3618441.0	3210532.0	5631319.0	3252484.5	3618441.0	3210532.0	5631319.0	3252484.5	3618441.0	3210532.0	5631319.0	4421832.5	3982032.0	3431562.5	6116993.5	4421832.5	3982032.0	3431562.5	6116993.5	4421832.5	3982032.0	3431562.5	6116993.5	
sp|Q6UX73|CP089_HUMAN	Q6UX73	CP089_HUMAN	C16orf89	402	39.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	UPF0764 protein C16orf89	1.0000	0.9990	6	18	16	18	6	4	3	5	4	4	3	5	6	4	3	5	9177989.0	3237646.8	1.1342896E7	5942314.5	9177989.0	3237646.8	1.1342896E7	5942314.5	9177989.0	3237646.8	1.1342896E7	5942314.5	5450993.5	2154822.2	1.4174604E7	4615793.0	4441713.0	2204405.0	1.2941728E7	6642519.5	5450993.5	2154822.2	1.4174604E7	4615793.0	
sp|Q6UXB8|PI16_HUMAN	Q6UXB8	PI16_HUMAN	PI16	463	20.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peptidase inhibitor 16	1.0000	0.9990	6	54	54	54	25	6	8	15	25	6	8	15	25	6	8	15	5.1226488E7	1.4691282E7	3900262.0	2.3713838E7	5.1226488E7	1.4691282E7	3900262.0	2.3713838E7	5.1226488E7	1.4691282E7	3900262.0	2.3713838E7	1.5394204E7	1.0739736E7	7328925.0	1.5382258E7	1.5394204E7	1.0739736E7	7328925.0	1.5382258E7	1.5394204E7	1.0739736E7	7328925.0	1.5382258E7	
sp|Q6UXD5|SE6L2_HUMAN	Q6UXD5	SE6L2_HUMAN	SEZ6L2	910	23.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Seizure 6-like protein 2	1.0000	0.9990	9	74	74	74	30	0	9	35	30	0	9	35	30	0	9	35	1.4565875E7	0.0	1671608.8	9151334.0	1.4565875E7	0.0	1671608.8	9151334.0	1.4565875E7	0.0	1671608.8	9151334.0	4902701.0	0.0	4208771.5	3499560.0	4902701.0	0.0	4208771.5	3499560.0	4902701.0	0.0	4208771.5	3499560.0	
sp|Q6UXH1|CREL2_HUMAN	Q6UXH1	CREL2_HUMAN	CRELD2	353	46.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein disulfide isomerase CRELD2	1.0000	0.9990	2	7	7	7	3	0	0	4	3	0	0	4	3	0	0	4	2315802.8	0.0	0.0	2562764.2	2315802.8	0.0	0.0	2562764.2	2315802.8	0.0	0.0	2562764.2	1471327.0	0.0	0.0	1769280.9	1471327.0	0.0	0.0	1769280.9	1471327.0	0.0	0.0	1769280.9	
sp|Q6UXK2|ISLR2_HUMAN	Q6UXK2	ISLR2_HUMAN	ISLR2	745	17.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin superfamily containing leucine-rich repeat protein 2	1.0000	0.9990	4	10	10	10	3	2	2	3	3	2	2	3	3	2	2	3	928671.75	0.0	0.0	916524.5	928671.75	0.0	0.0	916524.5	928671.75	0.0	0.0	916524.5	928671.75	0.0	0.0	916524.5	928671.75	0.0	0.0	916524.5	928671.75	0.0	0.0	916524.5	
sp|Q6UXK5|LRRN1_HUMAN	Q6UXK5	LRRN1_HUMAN	LRRN1	716	18.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Leucine-rich repeat neuronal protein 1	1.0000	0.9990	5	11	11	11	5	1	3	2	5	1	3	2	5	1	3	2	1.1577629E7	989161.7	253468.56	3331907.5	1.1577629E7	989161.7	253468.56	3331907.5	1.1577629E7	989161.7	253468.56	3331907.5	3961273.5	1622489.6	733131.4	1723049.9	3961273.5	1622489.6	733131.4	1723049.9	3961273.5	1622489.6	733131.4	1723049.9	
sp|Q6UXZ4|UNC5D_HUMAN	Q6UXZ4	UNC5D_HUMAN	UNC5D	953	13.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Netrin receptor UNC5D	1.0000	0.9990	4	14	14	14	6	0	3	5	6	0	3	5	6	0	3	5	8753579.0	0.0	2594002.0	4409733.0	8753579.0	0.0	2594002.0	4409733.0	8753579.0	0.0	2594002.0	4409733.0	4393486.5	0.0	1587880.2	3187818.8	4393486.5	0.0	1587880.2	3187818.8	4393486.5	0.0	1587880.2	3187818.8	
sp|Q6UY11|DLK2_HUMAN	Q6UY11	DLK2_HUMAN	DLK2	383	28.50	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Protein delta homolog 2	1.0000	0.9990	3	19	19	19	7	0	5	7	7	0	5	7	7	0	5	7	4638687.0	0.0	640857.25	4292047.0	4638687.0	0.0	640857.25	4292047.0	4638687.0	0.0	640857.25	4292047.0	1998495.4	0.0	446791.75	2438285.2	1998495.4	0.0	446791.75	2438285.2	1998495.4	0.0	446791.75	2438285.2	
sp|Q6YHK3|CD109_HUMAN	Q6YHK3	CD109_HUMAN	CD109	1445	9.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	CD109 antigen	1.0000	0.9990	8	11	11	11	5	0	1	5	5	0	1	5	5	0	1	5	2725938.8	0.0	0.0	3460327.2	2725938.8	0.0	0.0	3460327.2	2725938.8	0.0	0.0	3460327.2	1264779.5	0.0	0.0	1535945.8	1264779.5	0.0	0.0	1535945.8	1264779.5	0.0	0.0	1535945.8	
sp|Q6ZMI3|GLDN_HUMAN	Q6ZMI3	GLDN_HUMAN	GLDN	551	18.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Gliomedin	1.0000	0.9990	6	33	33	33	9	8	8	8	9	8	8	8	9	8	8	8	2.6263658E7	2.2203936E7	1.6039662E7	1.88338E7	2.6263658E7	2.2203936E7	1.6039662E7	1.88338E7	2.6263658E7	2.2203936E7	1.6039662E7	1.88338E7	1.1692969E7	9785275.0	8234330.0	1.0927324E7	1.1692969E7	9785275.0	8234330.0	1.0927324E7	1.1692969E7	9785275.0	8234330.0	1.0927324E7	
sp|Q6ZMP0|THSD4_HUMAN	Q6ZMP0	THSD4_HUMAN	THSD4	1018	27.30	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Thrombospondin type-1 domain-containing protein 4	1.0000	0.9989	3	6	6	6	2	1	2	1	2	1	2	1	2	1	2	1	1179311.1	1225799.2	0.0	972847.0	1179311.1	1225799.2	0.0	972847.0	1179311.1	1225799.2	0.0	972847.0	1179311.1	1225799.2	0.0	972847.0	1179311.1	1225799.2	0.0	972847.0	1179311.1	1225799.2	0.0	972847.0	
sp|Q6ZRP7|QSOX2_HUMAN	Q6ZRP7	QSOX2_HUMAN	QSOX2	698	13.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sulfhydryl oxidase 2	1.0000	0.9989	2	3	3	3	1	0	0	2	1	0	0	2	1	0	0	2	341970.1	0.0	0.0	737087.75	341970.1	0.0	0.0	737087.75	341970.1	0.0	0.0	737087.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6ZSJ9|SHSA6_HUMAN	Q6ZSJ9	SHSA6_HUMAN	SHISA6	500	18.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein shisa-6	1.0000	0.9990	2	26	26	26	5	7	7	7	5	7	7	7	5	7	7	7	7.282588E7	6.5342388E7	2.2412632E7	9.1450832E7	7.282588E7	6.5342388E7	2.2412632E7	9.1450832E7	7.282588E7	6.5342388E7	2.2412632E7	9.1450832E7	5.5481016E7	7.7543472E7	2.2412632E7	6.5073684E7	5.5481016E7	7.7543472E7	2.2412632E7	6.5073684E7	5.5481016E7	7.7543472E7	2.2412632E7	6.5073684E7	
sp|Q6ZVL6|K154L_HUMAN	Q6ZVL6	K154L_HUMAN	KIAA1549L	1849	13.10	Homo sapiens OX=9606	2:Experimental evidence at transcript level	UPF0606 protein KIAA1549L	1.0000	0.9989	4	10	10	10	3	0	3	4	3	0	3	4	3	0	3	4	8938290.0	0.0	1294115.6	6487294.0	8938290.0	0.0	1294115.6	6487294.0	8938290.0	0.0	1294115.6	6487294.0	3376740.5	0.0	3776556.8	3103180.5	3376740.5	0.0	3776556.8	3103180.5	3376740.5	0.0	3776556.8	3103180.5	
sp|Q70JA7|CHSS3_HUMAN	Q70JA7	CHSS3_HUMAN	CHSY3	882	13.80	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Chondroitin sulfate synthase 3	1.0000	0.9988	2	5	5	5	1	0	2	2	1	0	2	2	1	0	2	2	494221.38	0.0	699875.3	1094914.4	494221.38	0.0	699875.3	1094914.4	494221.38	0.0	699875.3	1094914.4	893422.6	0.0	1265340.9	1979318.0	893422.6	0.0	1265340.9	1979318.0	893422.6	0.0	1265340.9	1979318.0	
sp|Q7KYR7|BT2A1_HUMAN	Q7KYR7	BT2A1_HUMAN	BTN2A1	527	6.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Butyrophilin subfamily 2 member A1	1.0000	0.9990	4	19	0	19	8	5	0	6	0	0	0	0	8	5	0	6	4581159.0	3164597.2	0.0	3547509.5	0.0	0.0	0.0	0.0	4581159.0	3164597.2	0.0	3547509.5	1708446.2	4322601.0	0.0	1415180.9	0.0	0.0	0.0	0.0	1708446.2	4322601.0	0.0	1415180.9	sp|Q8WVV5|BT2A2_HUMAN
sp|Q7Z2D5|PLPR4_HUMAN	Q7Z2D5	PLPR4_HUMAN	PLPPR4	763	14.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-lysophosphatidate phosphatase PLPPR4	1.0000	0.9990	2	4	4	4	1	1	2	0	1	1	2	0	1	1	2	0	270753.06	0.0	264708.62	0.0	270753.06	0.0	264708.62	0.0	270753.06	0.0	264708.62	0.0	270753.06	0.0	264708.62	0.0	270753.06	0.0	264708.62	0.0	270753.06	0.0	264708.62	0.0	
sp|Q7Z3B1|NEGR1_HUMAN	Q7Z3B1	NEGR1_HUMAN	NEGR1	354	39.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Neuronal growth regulator 1	1.0000	0.9990	9	103	103	103	26	14	42	21	26	14	42	21	26	14	42	21	7.7529312E7	4.0823184E7	1.7411466E7	1.13645608E8	7.7529312E7	4.0823184E7	1.7411466E7	1.13645608E8	7.7529312E7	4.0823184E7	1.7411466E7	1.13645608E8	3.8993812E7	1.5721233E7	2.155438E7	7.0303008E7	3.8993812E7	1.5721233E7	2.155438E7	7.0303008E7	3.8993812E7	1.5721233E7	2.155438E7	7.0303008E7	
sp|Q7Z553|MDGA2_HUMAN	Q7Z553	MDGA2_HUMAN	MDGA2	956	13.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	MAM domain-containing glycosylphosphatidylinositol anchor protein 2	1.0000	0.9990	4	6	6	6	4	0	0	2	4	0	0	2	4	0	0	2	2515557.5	0.0	0.0	2439982.8	2515557.5	0.0	0.0	2439982.8	2515557.5	0.0	0.0	2439982.8	1160695.6	0.0	0.0	1379388.5	1160695.6	0.0	0.0	1379388.5	1160695.6	0.0	0.0	1379388.5	
sp|Q7Z5L0|VMO1_HUMAN	Q7Z5L0	VMO1_HUMAN	VMO1	202	22.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Vitelline membrane outer layer protein 1 homolog	1.0000	0.9990	2	5	5	5	3	0	1	1	3	0	1	1	3	0	1	1	1728295.9	0.0	653980.44	1757346.2	1728295.9	0.0	653980.44	1757346.2	1728295.9	0.0	653980.44	1757346.2	982345.0	0.0	825474.6	832618.75	982345.0	0.0	825474.6	832618.75	982345.0	0.0	825474.6	832618.75	
sp|Q7Z6L0|PRRT2_HUMAN	Q7Z6L0	PRRT2_HUMAN	PRRT2	340	40.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proline-rich transmembrane protein 2	1.0000	0.9990	4	17	17	17	5	3	3	6	5	3	3	6	5	3	3	6	7806274.5	2225543.8	1179035.0	8628069.0	7806274.5	2225543.8	1179035.0	8628069.0	7806274.5	2225543.8	1179035.0	8628069.0	2680812.2	3437588.8	1881852.8	2468781.0	2680812.2	3437588.8	1881852.8	2468781.0	2680812.2	3437588.8	1881852.8	2468781.0	
sp|Q7Z794|K2C1B_HUMAN	Q7Z794	K2C1B_HUMAN	KRT77	578	42.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1b	1.0000	0.9990	20	46	46	125	14	0	3	29	14	0	3	29	31	16	20	58	1.3206752E7	2095941.1	700481.4	2.253659E7	1.3206752E7	2095941.1	700481.4	2.253659E7	3.81948576E8	3.7142624E8	2.84508288E8	6.6526445E8	6685734.0	2095941.1	962731.3	9511176.0	6685734.0	2095941.1	962731.3	9511176.0	3.79320032E8	1.44041328E8	1.35073536E8	6.525623E8	
sp|Q7Z7G0|TARSH_HUMAN	Q7Z7G0	TARSH_HUMAN	ABI3BP	1075	14.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Target of Nesh-SH3	1.0000	0.9990	5	27	27	27	13	2	4	8	13	2	4	8	13	2	4	8	8617933.0	1624697.8	0.0	7252871.5	8617933.0	1624697.8	0.0	7252871.5	8617933.0	1624697.8	0.0	7252871.5	3416258.8	1067753.5	2328896.8	3343612.2	3416258.8	1067753.5	2328896.8	3343612.2	3416258.8	1067753.5	2328896.8	3343612.2	
sp|Q7Z7M0|MEGF8_HUMAN	Q7Z7M0	MEGF8_HUMAN	MEGF8	2845	20.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Multiple epidermal growth factor-like domains protein 8	1.0000	0.9990	19	218	218	218	73	25	45	75	73	25	45	75	73	25	45	75	3.5655828E7	2.6424538E7	3.5776684E7	3.2779722E7	3.5655828E7	2.6424538E7	3.5776684E7	3.2779722E7	3.5655828E7	2.6424538E7	3.5776684E7	3.2779722E7	1.6502328E7	2.823226E7	1.9367608E7	1.6275207E7	1.6502328E7	2.823226E7	1.9367608E7	1.6275207E7	1.6502328E7	2.823226E7	1.9367608E7	1.6275207E7	
sp|Q86SF2|GALT7_HUMAN	Q86SF2	GALT7_HUMAN	GALNT7	657	33.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	N-acetylgalactosaminyltransferase 7	1.0000	0.9990	9	21	21	21	8	0	6	7	8	0	6	7	8	0	6	7	8229441.0	0.0	1459091.5	5224156.0	8229441.0	0.0	1459091.5	5224156.0	8229441.0	0.0	1459091.5	5224156.0	4074311.0	0.0	2352282.0	2836167.0	4074311.0	0.0	2352282.0	2836167.0	4074311.0	0.0	2352282.0	2836167.0	
sp|Q86SR1|GLT10_HUMAN	Q86SR1	GLT10_HUMAN	GALNT10	603	21.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polypeptide N-acetylgalactosaminyltransferase 10	1.0000	0.9990	3	8	8	8	4	0	0	4	4	0	0	4	4	0	0	4	3861413.0	0.0	0.0	2651905.0	3861413.0	0.0	0.0	2651905.0	3861413.0	0.0	0.0	2651905.0	2880095.2	0.0	0.0	1623500.6	2880095.2	0.0	0.0	1623500.6	2880095.2	0.0	0.0	1623500.6	
sp|Q86TY3|ARMD4_HUMAN	Q86TY3	ARMD4_HUMAN	ARMH4	774	6.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Armadillo-like helical domain-containing protein 4	1.0000	0.9990	3	9	9	9	1	2	2	4	1	2	2	4	1	2	2	4	819047.2	538684.1	483042.06	1282373.0	819047.2	538684.1	483042.06	1282373.0	819047.2	538684.1	483042.06	1282373.0	534985.1	594607.75	533204.94	813706.7	534985.1	594607.75	533204.94	813706.7	534985.1	594607.75	533204.94	813706.7	
sp|Q86UN2|R4RL1_HUMAN	Q86UN2	R4RL1_HUMAN	RTN4RL1	441	19.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Reticulon-4 receptor-like 1	1.0000	0.9981	4	18	18	18	8	1	2	7	8	1	2	7	8	1	2	7	6144904.0	4276191.5	3453037.5	6572561.5	6144904.0	4276191.5	3453037.5	6572561.5	6144904.0	4276191.5	3453037.5	6572561.5	3635097.8	2280737.5	1969483.4	2695682.0	3635097.8	2280737.5	1969483.4	2695682.0	3635097.8	2280737.5	1969483.4	2695682.0	
sp|Q86UN3|R4RL2_HUMAN	Q86UN3	R4RL2_HUMAN	RTN4RL2	420	25.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Reticulon-4 receptor-like 2	1.0000	0.9990	5	37	37	37	13	6	5	13	13	6	5	13	13	6	5	13	5.9940484E7	2.33896E7	740152.1	4.4363072E7	5.9940484E7	2.33896E7	740152.1	4.4363072E7	5.9940484E7	2.33896E7	740152.1	4.4363072E7	3.5721444E7	1.7291114E7	2906361.5	2.007614E7	3.5721444E7	1.7291114E7	2906361.5	2.007614E7	3.5721444E7	1.7291114E7	2906361.5	2.007614E7	
sp|Q86UX2|ITIH5_HUMAN	Q86UX2	ITIH5_HUMAN	ITIH5	942	20.60	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Inter-alpha-trypsin inhibitor heavy chain H5	1.0000	0.9990	10	32	32	32	12	3	4	13	12	3	4	13	12	3	4	13	1.2851416E7	1603392.2	8216608.5	1.0502809E7	1.2851416E7	1603392.2	8216608.5	1.0502809E7	1.2851416E7	1603392.2	8216608.5	1.0502809E7	8583550.0	1603392.2	7096288.0	8924257.0	8583550.0	1603392.2	7096288.0	8924257.0	8583550.0	1603392.2	7096288.0	8924257.0	
sp|Q86VB7|C163A_HUMAN	Q86VB7	C163A_HUMAN	CD163	1156	26.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Scavenger receptor cysteine-rich type 1 protein M130	1.0000	0.9990	15	129	129	129	54	18	20	37	54	18	20	37	54	18	20	37	5.811972E7	2.2413506E7	1.1305087E7	3.9791376E7	5.811972E7	2.2413506E7	1.1305087E7	3.9791376E7	5.811972E7	2.2413506E7	1.1305087E7	3.9791376E7	1.8913846E7	2.1560118E7	2.1438594E7	2.134492E7	1.8913846E7	2.1560118E7	2.1438594E7	2.134492E7	1.8913846E7	2.1560118E7	2.1438594E7	2.134492E7	
sp|Q86VZ4|LRP11_HUMAN	Q86VZ4	LRP11_HUMAN	LRP11	500	20.40	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Low-density lipoprotein receptor-related protein 11	1.0000	0.9990	4	18	18	18	8	2	3	5	8	2	3	5	8	2	3	5	3474898.5	515569.5	1262082.1	4522942.5	3474898.5	515569.5	1262082.1	4522942.5	3474898.5	515569.5	1262082.1	4522942.5	1411549.2	666065.0	747761.9	1859071.2	1411549.2	666065.0	747761.9	1859071.2	1411549.2	666065.0	747761.9	1859071.2	
sp|Q86X29|LSR_HUMAN	Q86X29	LSR_HUMAN	LSR	649	29.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lipolysis-stimulated lipoprotein receptor	1.0000	0.9990	6	16	16	16	4	3	2	7	4	3	2	7	4	3	2	7	6094462.5	8475313.0	0.0	8476442.0	6094462.5	8475313.0	0.0	8476442.0	6094462.5	8475313.0	0.0	8476442.0	5533801.5	8475313.0	0.0	7075422.5	5533801.5	8475313.0	0.0	7075422.5	5533801.5	8475313.0	0.0	7075422.5	
sp|Q86Y38|XYLT1_HUMAN	Q86Y38	XYLT1_HUMAN	XYLT1	959	17.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Xylosyltransferase 1	1.0000	0.9990	4	66	66	66	7	31	20	8	7	31	20	8	7	31	20	8	1143082.1	9143160.0	1852735.4	1195034.8	1143082.1	9143160.0	1852735.4	1195034.8	1143082.1	9143160.0	1852735.4	1195034.8	1279506.5	5395548.5	1207423.0	1004427.94	1279506.5	5395548.5	1207423.0	1004427.94	1279506.5	5395548.5	1207423.0	1004427.94	
sp|Q8IUC1|KR111_HUMAN	Q8IUC1	KR111_HUMAN	KRTAP11-1	163	32.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratin-associated protein 11-1	1.0000	0.9990	2	5	5	5	1	0	4	0	1	0	4	0	1	0	4	0	689582.5	0.0	2325550.5	0.0	689582.5	0.0	2325550.5	0.0	689582.5	0.0	2325550.5	0.0	689582.5	0.0	1688753.5	0.0	689582.5	0.0	1688753.5	0.0	689582.5	0.0	1688753.5	0.0	
sp|Q8IUC8|GLT13_HUMAN	Q8IUC8	GLT13_HUMAN	GALNT13	556	33.50	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Polypeptide N-acetylgalactosaminyltransferase 13	1.0000	0.9990	8	21	21	21	5	0	4	12	5	0	4	12	5	0	4	12	3737130.0	0.0	816018.7	3839734.5	3737130.0	0.0	816018.7	3839734.5	3737130.0	0.0	816018.7	3839734.5	1315139.2	0.0	1040930.4	1871404.5	1315139.2	0.0	1040930.4	1871404.5	1315139.2	0.0	1040930.4	1871404.5	
sp|Q8IUK5|PLDX1_HUMAN	Q8IUK5	PLDX1_HUMAN	PLXDC1	500	26.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plexin domain-containing protein 1	1.0000	0.9990	3	8	8	8	5	0	0	3	5	0	0	3	5	0	0	3	2.4408376E7	401523.6	0.0	1.1816737E7	2.4408376E7	401523.6	0.0	1.1816737E7	2.4408376E7	401523.6	0.0	1.1816737E7	1.2021659E7	401523.6	0.0	7134695.5	1.2021659E7	401523.6	0.0	7134695.5	1.2021659E7	401523.6	0.0	7134695.5	
sp|Q8IUX7|AEBP1_HUMAN	Q8IUX7	AEBP1_HUMAN	AEBP1	1158	16.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adipocyte enhancer-binding protein 1	1.0000	0.9990	8	14	14	14	4	0	1	9	4	0	1	9	4	0	1	9	384570.8	0.0	840357.6	1648608.0	384570.8	0.0	840357.6	1648608.0	384570.8	0.0	840357.6	1648608.0	497295.1	0.0	967026.94	1003838.1	497295.1	0.0	967026.94	1003838.1	497295.1	0.0	967026.94	1003838.1	
